########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2014/12/03.05:00:01      0.0   48624000.0  139214000.0      -1000.0   48654000.0  139215000.0      -4000.0 -120553000.0 -152582000.0   -6828000.0   14746.23       2.97   33736.27   23.54    6.91  -175.77     4.88      0.0
2014/12/04.05:00:01      1.0   46305000.0  140272000.0    -333000.0   46176000.0  140032000.0      -4000.0 -119116000.0 -154165000.0   -6637000.0   14771.85      42.76   33778.44   30.20    4.78    69.71   -28.92    257.0
2014/12/05.05:00:01      2.0   43922000.0  141278000.0    -651000.0   43683000.0  140806000.0      -4000.0 -117664000.0 -155728000.0   -6444000.0   14795.02      83.53   33816.67   30.14    4.68    70.94   -29.05    517.7
2014/12/06.05:00:01      3.0   41523000.0  142238000.0    -964000.0   41178000.0  141537000.0      -4000.0 -116196000.0 -157269000.0   -6250000.0   14817.90     123.80   33853.91   30.10    4.65    71.37   -29.08    777.9
2014/12/07.05:00:01      4.0   39112000.0  143154000.0   -1275000.0   38659000.0  142224000.0      -4000.0 -114712000.0 -158790000.0   -6055000.0   14840.66     163.86   33890.33   30.05    4.63    71.59   -29.08   1037.8
2014/12/08.05:00:01      5.0   36688000.0  144025000.0   -1585000.0   36129000.0  142867000.0      -4000.0 -113213000.0 -160290000.0   -5860000.0   14863.37     203.80   33925.98   30.01    4.62    71.72   -29.06   1297.2
2014/12/09.05:00:01      6.0   34253000.0  144853000.0   -1894000.0   33588000.0  143466000.0      -4000.0 -111700000.0 -161769000.0   -5664000.0   14886.03     243.65   33960.88   29.96    4.61    71.81   -29.03   1556.3
2014/12/10.05:00:01      7.0   31807000.0  145637000.0   -2202000.0   31036000.0  144022000.0      -4000.0 -110172000.0 -163227000.0   -5467000.0   14908.65     283.46   33995.03   29.91    4.61    71.87   -28.99   1814.9
2014/12/11.05:00:01      8.0   29352000.0  146377000.0   -2509000.0   28474000.0  144532000.0      -4000.0 -108630000.0 -164663000.0   -5270000.0   14931.24     323.23   34028.44   29.87    4.60    71.92   -28.95   2073.2
2014/12/12.05:00:01      9.0   26888000.0  147073000.0   -2815000.0   25903000.0  144998000.0      -4000.0 -107074000.0 -166079000.0   -5072000.0   14953.80     362.98   34061.10   29.82    4.60    71.96   -28.89   2331.1
2014/12/13.05:00:01     10.0   24416000.0  147726000.0   -3120000.0   23324000.0  145419000.0      -4000.0 -105504000.0 -167473000.0   -4873000.0   14976.31     402.72   34093.01   29.78    4.60    71.98   -28.82   2588.5
